mixture_ID,speaker_1_ID,speaker_2_ID
BAC009S0746W0198_BAC009S0756W0444,S0746,S0756
BAC009S0756W0440_BAC009S0755W0484,S0756,S0755
BAC009S0725W0227_BAC009S0733W0253,S0725,S0733
BAC009S0745W0459_BAC009S0741W0201,S0745,S0741
BAC009S0760W0211_BAC009S0725W0302,S0760,S0725
BAC009S0729W0265_BAC009S0753W0271,S0729,S0753
BAC009S0753W0145_BAC009S0726W0466,S0753,S0726
BAC009S0726W0137_BAC009S0748W0393,S0726,S0748
BAC009S0737W0459_BAC009S0752W0474,S0737,S0752
BAC009S0742W0456_BAC009S0727W0194,S0742,S0727
BAC009S0760W0230_BAC009S0753W0173,S0760,S0753
BAC009S0743W0214_BAC009S0751W0147,S0743,S0751
BAC009S0754W0366_BAC009S0729W0311,S0754,S0729
BAC009S0726W0359_BAC009S0759W0452,S0726,S0759
BAC009S0760W0173_BAC009S0729W0135,S0760,S0729
BAC009S0751W0216_BAC009S0734W0239,S0751,S0734
BAC009S0731W0137_BAC009S0741W0298,S0731,S0741
BAC009S0729W0399_BAC009S0761W0328,S0729,S0761
BAC009S0733W0136_BAC009S0734W0367,S0733,S0734
BAC009S0759W0187_BAC009S0742W0342,S0759,S0742
BAC009S0762W0392_BAC009S0749W0176,S0762,S0749
BAC009S0748W0278_BAC009S0728W0278,S0748,S0728
BAC009S0737W0465_BAC009S0758W0366,S0737,S0758
BAC009S0733W0204_BAC009S0726W0150,S0733,S0726
BAC009S0734W0179_BAC009S0757W0174,S0734,S0757
BAC009S0750W0378_BAC009S0727W0334,S0750,S0727
BAC009S0755W0205_BAC009S0744W0235,S0755,S0744
BAC009S0741W0126_BAC009S0742W0376,S0741,S0742
BAC009S0751W0256_BAC009S0747W0141,S0751,S0747
BAC009S0742W0389_BAC009S0729W0161,S0742,S0729
BAC009S0727W0182_BAC009S0752W0437,S0727,S0752
BAC009S0731W0442_BAC009S0730W0333,S0731,S0730
BAC009S0730W0461_BAC009S0741W0190,S0730,S0741
BAC009S0762W0183_BAC009S0755W0290,S0762,S0755
BAC009S0746W0151_BAC009S0724W0342,S0746,S0724
BAC009S0758W0127_BAC009S0760W0467,S0758,S0760
BAC009S0746W0297_BAC009S0753W0345,S0746,S0753
BAC009S0752W0473_BAC009S0730W0203,S0752,S0730
BAC009S0735W0400_BAC009S0759W0287,S0735,S0759
BAC009S0747W0132_BAC009S0733W0258,S0747,S0733
BAC009S0757W0188_BAC009S0756W0168,S0757,S0756
BAC009S0724W0479_BAC009S0763W0300,S0724,S0763
BAC009S0763W0142_BAC009S0753W0390,S0763,S0753
BAC009S0731W0208_BAC009S0738W0187,S0731,S0738
BAC009S0754W0196_BAC009S0759W0257,S0754,S0759
BAC009S0746W0353_BAC009S0748W0475,S0746,S0748
BAC009S0739W0397_BAC009S0756W0430,S0739,S0756
BAC009S0734W0468_BAC009S0740W0177,S0734,S0740
BAC009S0759W0144_BAC009S0737W0226,S0759,S0737
BAC009S0728W0140_BAC009S0754W0235,S0728,S0754
BAC009S0760W0362_BAC009S0763W0377,S0760,S0763
BAC009S0759W0123_BAC009S0761W0339,S0759,S0761
BAC009S0751W0375_BAC009S0743W0320,S0751,S0743
BAC009S0738W0438_BAC009S0744W0451,S0738,S0744
BAC009S0726W0414_BAC009S0725W0317,S0726,S0725
BAC009S0750W0321_BAC009S0738W0130,S0750,S0738
BAC009S0738W0143_BAC009S0750W0273,S0738,S0750
BAC009S0747W0189_BAC009S0739W0421,S0747,S0739
BAC009S0756W0182_BAC009S0762W0309,S0756,S0762
BAC009S0737W0493_BAC009S0733W0316,S0737,S0733
BAC009S0750W0336_BAC009S0745W0487,S0750,S0745
BAC009S0757W0429_BAC009S0748W0210,S0757,S0748
BAC009S0747W0356_BAC009S0759W0147,S0747,S0759
BAC009S0741W0441_BAC009S0736W0342,S0741,S0736
BAC009S0749W0376_BAC009S0727W0303,S0749,S0727
BAC009S0750W0298_BAC009S0743W0485,S0750,S0743
BAC009S0751W0414_BAC009S0746W0133,S0751,S0746
BAC009S0741W0324_BAC009S0744W0335,S0741,S0744
BAC009S0753W0252_BAC009S0727W0390,S0753,S0727
BAC009S0757W0352_BAC009S0762W0260,S0757,S0762
