mixture_ID,speaker_1_ID,speaker_2_ID
BAC009S0185W0483_BAC009S0125W0236,S0185,S0125
BAC009S0345W0347_BAC009S0230W0455,S0345,S0230
BAC009S0248W0184_BAC009S0358W0184,S0248,S0358
BAC009S0139W0400_BAC009S0354W0242,S0139,S0354
BAC009S0155W0453_BAC009S0043W0256,S0155,S0043
BAC009S0015W0437_BAC009S0210W0345,S0015,S0210
BAC009S0179W0449_BAC009S0228W0371,S0179,S0228
BAC009S0198W0122_BAC009S0217W0364,S0198,S0217
BAC009S0347W0332_BAC009S0513W0397,S0347,S0513
BAC009S0138W0240_BAC009S0149W0427,S0138,S0149
BAC009S0722W0154_BAC009S0711W0139,S0722,S0711
BAC009S0349W0147_BAC009S0072W0418,S0349,S0072
BAC009S0013W0357_BAC009S0035W0489,S0013,S0035
BAC009S0203W0140_BAC009S0522W0345,S0203,S0522
BAC009S0205W0324_BAC009S0709W0127,S0205,S0709
BAC009S0002W0418_BAC009S0137W0435,S0002,S0137
BAC009S0043W0338_BAC009S0177W0338,S0043,S0177
BAC009S0117W0317_BAC009S0047W0394,S0117,S0047
BAC009S0656W0343_BAC009S0140W0461,S0656,S0140
BAC009S0174W0348_BAC009S0099W0435,S0174,S0099
BAC009S0173W0451_BAC009S0708W0441,S0173,S0708
BAC009S0245W0228_BAC009S0133W0146,S0245,S0133
BAC009S0063W0295_BAC009S0517W0348,S0063,S0517
BAC009S0518W0235_BAC009S0100W0441,S0518,S0100
BAC009S0110W0151_BAC009S0009W0462,S0110,S0009
BAC009S0083W0363_BAC009S0139W0139,S0083,S0139
BAC009S0240W0245_BAC009S0719W0415,S0240,S0719
BAC009S0025W0420_BAC009S0167W0291,S0025,S0167
BAC009S0064W0189_BAC009S0236W0165,S0064,S0236
BAC009S0109W0445_BAC009S0207W0229,S0109,S0207
BAC009S0229W0249_BAC009S0718W0240,S0229,S0718
BAC009S0723W0162_BAC009S0189W0204,S0723,S0189
BAC009S0358W0368_BAC009S0235W0210,S0358,S0235
BAC009S0245W0167_BAC009S0252W0162,S0245,S0252
BAC009S0422W0329_BAC009S0358W0294,S0422,S0358
BAC009S0054W0309_BAC009S0140W0471,S0054,S0140
BAC009S0711W0464_BAC009S0177W0391,S0711,S0177
BAC009S0251W0480_BAC009S0052W0154,S0251,S0052
BAC009S0172W0165_BAC009S0249W0472,S0172,S0249
BAC009S0189W0313_BAC009S0010W0400,S0189,S0010
BAC009S0337W0482_BAC009S0664W0174,S0337,S0664
BAC009S0518W0192_BAC009S0355W0122,S0518,S0355
BAC009S0069W0365_BAC009S0663W0382,S0069,S0663
BAC009S0239W0446_BAC009S0338W0332,S0239,S0338
BAC009S0221W0155_BAC009S0075W0196,S0221,S0075
BAC009S0513W0376_BAC009S0086W0341,S0513,S0086
BAC009S0118W0176_BAC009S0151W0234,S0118,S0151
BAC009S0021W0458_BAC009S0191W0412,S0021,S0191
BAC009S0028W0268_BAC009S0021W0350,S0028,S0021
BAC009S0666W0209_BAC009S0067W0298,S0666,S0067
BAC009S0130W0250_BAC009S0138W0303,S0130,S0138
BAC009S0012W0318_BAC009S0202W0483,S0012,S0202
BAC009S0125W0273_BAC009S0183W0445,S0125,S0183
BAC009S0015W0455_BAC009S0010W0214,S0015,S0010
